Fecha,Maquina,s
18/10/2023 08:00,Maquina 1,1.667573
18/10/2023 08:00,Maquina 2,2
18/10/2023 08:00,Maquina 1,1.922778
18/10/2023 08:00,Maquina 2,2
18/10/2023 08:00,Maquina 1,2.679109
18/10/2023 08:00,Maquina 2,5
18/10/2023 08:00,Maquina 2,3
18/10/2023 08:00,Maquina 2,4
18/10/2023 08:00,Maquina 2,2
18/10/2023 08:00,Maquina 1,2.927688
18/10/2023 08:00,Maquina 1,0.907513
18/10/2023 08:01,Maquina 1,1.167343
18/10/2023 08:01,Maquina 2,1
18/10/2023 08:01,Maquina 1,3.101871
18/10/2023 08:01,Maquina 2,4
18/10/2023 08:01,Maquina 2,2
18/10/2023 08:01,Maquina 2,4
18/10/2023 08:01,Maquina 2,3
18/10/2023 08:01,Maquina 1,6.429361
18/10/2023 08:01,Maquina 2,5
18/10/2023 08:01,Maquina 1,2.545022
18/10/2023 08:02,Maquina 1,3.24499
18/10/2023 08:02,Maquina 1,0.66437
18/10/2023 08:02,Maquina 1,0.548775
18/10/2023 08:02,Maquina 2,2
18/10/2023 08:02,Maquina 2,1
18/10/2023 08:02,Maquina 1,1.172769
18/10/2023 08:02,Maquina 1,0.926259
18/10/2023 08:02,Maquina 1,5.882425
18/10/2023 08:02,Maquina 1,4.505952
18/10/2023 08:02,Maquina 1,5.257183
18/10/2023 08:02,Maquina 1,0.632956
18/10/2023 08:03,Maquina 1,1.58622
18/10/2023 08:03,Maquina 1,1.424191
18/10/2023 08:03,Maquina 2,2
18/10/2023 08:03,Maquina 1,1.630191
18/10/2023 08:03,Maquina 2,4
18/10/2023 08:03,Maquina 2,4
18/10/2023 08:03,Maquina 2,4
18/10/2023 08:03,Maquina 2,5
18/10/2023 08:03,Maquina 1,0.38339
18/10/2023 08:03,Maquina 2,1
18/10/2023 08:03,Maquina 1,1.636103
18/10/2023 08:03,Maquina 2,2
18/10/2023 08:03,Maquina 2,1
18/10/2023 08:03,Maquina 1,1.770806
18/10/2023 08:04,Maquina 2,4
18/10/2023 08:04,Maquina 2,2
