Time;Object;Staytime
18/10/2023 8:00:04;MAQUINA;4,491715
18/10/2023 8:00:15;MAQUINA;4,559486
18/10/2023 8:00:18;MAQUINA;1,922778
18/10/2023 8:00:25;MAQUINA;3,303992
18/10/2023 8:00:29;MAQUINA;2,679109
18/10/2023 8:00:53;MAQUINA;0,272030
18/10/2023 8:00:59;MAQUINA;2,402006
18/10/2023 8:01:00;MAQUINA;0,789294
18/10/2023 8:01:14;MAQUINA;4,033943
18/10/2023 8:01:40;MAQUINA;2,927688
18/10/2023 8:01:42;MAQUINA2;4,000000
18/10/2023 8:01:57;MAQUINA;1,167343
18/10/2023 8:02:12;MAQUINA;7,290792
18/10/2023 8:02:19;MAQUINA;3,101871
18/10/2023 8:02:37;MAQUINA;0,830490
18/10/2023 8:02:42;MAQUINA;4,270355
18/10/2023 8:02:44;MAQUINA;1,207990
18/10/2023 8:02:47;MAQUINA;1,832847
18/10/2023 8:02:59;MAQUINA;6,429361
18/10/2023 8:03:11;MAQUINA;0,009501
18/10/2023 8:03:51;MAQUINA;2,545022
18/10/2023 8:04:03;MAQUINA;3,024499
18/10/2023 8:04:03;MAQUINA;0,548775
18/10/2023 8:04:07;MAQUINA2;5,000000
18/10/2023 8:04:23;MAQUINA2;1,000000
18/10/2023 8:04:25;MAQUINA;4,166804
18/10/2023 8:05:10;MAQUINA;1,172769
18/10/2023 8:05:13;MAQUINA;0,926259
18/10/2023 8:05:14;MAQUINA2;1,000000
18/10/2023 8:05:19;MAQUINA;4,505952
18/10/2023 8:05:25;MAQUINA;5,257183
18/10/2023 8:05:26;MAQUINA;0,632956
18/10/2023 8:05:47;MAQUINA;1,586220
18/10/2023 8:05:48;MAQUINA2;2,000000
18/10/2023 8:05:54;MAQUINA;1,424191
18/10/2023 8:06:02;MAQUINA;1,290264
18/10/2023 8:06:05;MAQUINA2;3,000000
18/10/2023 8:06:25;MAQUINA;0,949061
18/10/2023 8:06:29;MAQUINA2;4,000000
18/10/2023 8:06:35;MAQUINA;0,021633
18/10/2023 8:06:44;MAQUINA;6,212290
18/10/2023 8:06:47;MAQUINA2;5,000000
18/10/2023 8:06:49;MAQUINA;3,651899
18/10/2023 8:06:52;MAQUINA2;3,000000
18/10/2023 8:07:04;MAQUINA;6,161641
18/10/2023 8:07:16;MAQUINA;1,770806
18/10/2023 8:07:36;MAQUINA;0,717191
18/10/2023 8:07:41;MAQUINA;3,744610
18/10/2023 8:08:14;MAQUINA;5,532781
18/10/2023 8:08:23;MAQUINA2;3,000000
18/10/2023 8:08:24;MAQUINA2;1,000000
18/10/2023 8:08:25;MAQUINA;7,383325
18/10/2023 8:08:34;MAQUINA;0,426985
18/10/2023 8:08:51;MAQUINA;0,491294
18/10/2023 8:08:56;MAQUINA;0,055219
18/10/2023 8:09:09;MAQUINA;4,587681
18/10/2023 8:09:14;MAQUINA;0,648724
18/10/2023 8:09:23;MAQUINA;2,810431
18/10/2023 8:09:38;MAQUINA;0,010496
18/10/2023 8:09:44;MAQUINA;0,570336
18/10/2023 8:09:54;MAQUINA;0,349916
18/10/2023 8:10:07;MAQUINA;1,893696
18/10/2023 8:10:27;MAQUINA;4,575904
18/10/2023 8:10:34;MAQUINA;2,029194
18/10/2023 8:10:34;MAQUINA2;1,000000
18/10/2023 8:10:57;MAQUINA;3,998598
18/10/2023 8:11:27;MAQUINA2;1,000000
18/10/2023 8:11:29;MAQUINA;5,916586
18/10/2023 8:11:38;MAQUINA;8,081772
18/10/2023 8:11:43;MAQUINA;1,091573
18/10/2023 8:11:44;MAQUINA2;1,000000
18/10/2023 8:12:12;MAQUINA2;4,000000
18/10/2023 8:12:12;MAQUINA;5,407031
18/10/2023 8:12:31;MAQUINA;4,620590
18/10/2023 8:12:34;MAQUINA2;5,000000
